"%s is not supported currency.","%s は未サポートの通貨です。"
"Accept","受付"
"Basic","基本"
"Cannot retreive rate from strikeirion.","ストライクアイロンからレートを受信できません。"
"Cannot retrieve rate from %s to %s"," %s から %s まで割合が回収できません"
"Check all email servers","メールサーバを確認する"
"Complete","完了"
"Country/Region/Postal code combination","都道府県/郵便番号コードの組み合わせ"
"Customer Tax Class","顧客課税区分"
"Email Verification","メール確認"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","メールアドレスが確認できません。もう一度正しく入力されていることを確認してください。"
"Enable US address verification","有効なUSアドレス確認"
"Enable email verification","有効なメール確認"
"Enable foreign exchange rate","為替レートを有効にする"
"Enable global address verification","有効なグローバルアドレス確認"
"Enable sales and use tax","販売と税の使用が可能"
"Error Email Recipient","メールの受信エラー"
"Error Email Sender","エラーメール送信者"
"Error Email Template","エラーメールテンプレート"
"Error address action","アドレスエラーアクション"
"Foreign Exchange Rates","為替レート"
"Global Address Verification","グローバルアドレス確認"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate."
"Invalid email address","不正なメールアドレスです"
"Maximum tax rate","最大税率"
"Minimum tax rate","最小税率"
"Password","パスワード"
"Pop up warning and accept","警告を表示し承認する"
"Product Tax Class","商品税区分"
"Reject","拒否"
"Sales and Use Tax","Sales and Use Tax"
"Sales and Use Tax Type","Sales and Use Tax Type"
"Strikeiron","ストライクアイロン"
"Strikeiron Config","Strikeiron設定"
"Strikeiron Section","ストライクアイロン セクション"
"Strikeiron foreign exchange rate is disabled","ストライクアイロン為替レートは無効です"
"Tax","税"
"There is an error in retrieving tax rate. Please contact us","税率を回収する際にエラーが発生しました。お問合せください。"
"There is an error in verifying an email. Please contact us.","メールアドレスの確認にエラーが発生しました。お問合せください。"
"There is no more hits remaining for the foreign Exchange Rate Service.","外為替レートサービスの"
"There is no response back from Strikeiron server","ストライクアイロンのサーバから反応がありません"
"US Address Verification","USアドレス確認"
"Undetermined email action","Undetermined email action"
"Use","使用"
"User ID","ユーザーID"
"Verify address in admin","管理者側の住所検証"
"Verify email in admin","管理者メールアドレス検証"
