"Add","追加"
"Allow Gift Messages for Order Items","注文商品ごとにギフトメッセージを許可する"
"Allow Gift Messages on Order Level","注文ごとにギフトメッセージを許可する"
"An error occurred while saving the gift message.","ギフトメッセージの保存中にエラーが発生しました。"
"Are you sure?","よろしいですか？"
"Check this checkbox if you want to add gift messages to your items.","ギフトメッセージを追加したい場合はチェックしてください。"
"Check this checkbox if you want to add gift messages.","ギフトメッセージを追加したい場合はチェックしてください。"
"Do you have any gift items in your order?","ギフトにする商品がありますか？"
"Edit","編集"
"Enter a gift message for each item in your order.","ご注文の商品それぞれにギフトメッセージを入力する。"
"Enter a gift message for entire order.","ご注文にギフトメッセージを入力する。"
"Enter a gift message for this address.","このあて先にギフトメッセージを入力する。"
"From","発信者"
"Gift Messages","ギフトメッセージ"
"Item %d of %d","%d個中%dの商品"
"Message","メッセージ"
"No","いいえ"
"Save Gift Message","ギフトメッセージ"
"The gift message has been removed","ギフトメッセージを削除しました"
"The gift message has been saved","ギフトメッセージを保存しました"
"The gift message has been saved.","ギフトメッセージを保存しました。"
"To","あて先"
"Unknown entity type","不明なエンティティタイプ"
"Use config","設定を使用する"
"Yes","はい"
"You can leave this box blank if you do not wish to add a gift message for the item.","この商品にギフトメッセージを希望されない場合は空欄にしておくことができます。"
"You can leave this box blank if you do not wish to add a gift message for this address.","このお届け先にギフトメッセージを希望されない場合は空欄にしておくことができます。"
"You can leave this box blank if you do not wish to add a gift message for whole order.","ご注文全体にギフトメッセージを希望されない場合は空欄にしておくことができます。"
