"-- Please Select --","-- 選択してください --","TRUE"
"%s","%s","TRUE"
"%s already exist.","%sは既に存在しています。","TRUE"
"%s already exists.","%sは既に存在しています。","TRUE"
"A category object is required for determining the product request path.","カテゴリオブジェクトは商品のリクエストパスの定義を必要としています","TRUE"
"Add Block Names to Hints","ブロック名をヒントに追加","TRUE"
"Add Secret Key to URLs","URLにシークレットキーを付与","TRUE"
"Add Store Code to Urls","店舗コードをURLに追加","TRUE"
"Admin","管理","TRUE"
"Admin Base URL","管理ページベースURL","TRUE"
"Admin User Emails","管理者メールアドレス","TRUE"
"Advanced","高度な設定","TRUE"
"Allow Countries","許可する国","TRUE"
"Allowed IPs (comma separated)","許可されたIP(コンマ区切り)","TRUE"
"Allows customers to stay logged in when switching between different stores.","異なる店舗に移動してもログイン状態を継続することを許可する","TRUE"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","次ページへのリンクへのテキストに使用します。デフォルトでは矢印型の画像が使用されます。","TRUE"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","前ページへのリンクへのテキストに使用します。デフォルトでは矢印型の画像が使用されます。","TRUE"
"An error occurred while saving. Please review the error log.","保存中にエラーが発生しました。ログを確認の上、やり直してください。","TRUE"
"Anchor Text for Next","次ページへのアンカーテキスト","TRUE"
"Anchor Text for Previous","前ページへのアンカーテキスト","TRUE"
"Are you sure?","よろしいですか？","TRUE"
"Back","戻る","TRUE"
"Backup Options","バックアップオプション","TRUE"
"Base JavaScript URL","JavascriptベースURL","TRUE"
"Base Link URL","リンクベースURL","TRUE"
"Base Media URL","メディアベースURL","TRUE"
"Base Skin URL","スキンベースURL","TRUE"
"Base URL","ベースURL","TRUE"
"Before modifying the store view code please make sure that it is not used in index.php.","ストアビューコードを変更する前に、index.phpで既に使用されていないか確認してください。","TRUE"
"Before modifying the website code please make sure that it is not used in index.php.","ウェブサイトコードを変更する前に、index.phpで既に使用されていないか確認してください。","TRUE"
"Block with name ""%s"" already exists","""%s""の名前のブロックはすでに存在します","TRUE"
"Browser Capabilities Detection","ブラウザ互換性検出","TRUE"
"Cache Storage Management","キャッシュストレージ管理","TRUE"
"Cache storage may contain another data. Are you sure that you want flush it?","キャッシュストレージはほかのデータを含んでいます。クリアしてもよろしいですか？","TRUE"
"Can't retrieve request object","リクエストオブジェクトを取得できません","TRUE"
"Cancel","キャンセル","TRUE"
"Cannot complete this operation from non-admin area.","管理者サイトからではない場所からの操作を完了できませんでした。","TRUE"
"Cannot retrieve entity config: %s","属性設定を受け取れません: %s","TRUE"
"Card type does not match credit card number","カード種別がカード番号と一致しません","TRUE"
"Code","コード","TRUE"
