"* Required Fields","* 必須項目"
"A new password was sent","新しいパスワードを送りました"
"Account Dashboard","アカウントダッシュボード"
"Account Information","アカウント情報"
"Account Sharing Options","アカウント設定オプション"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Account information was successfully saved","アカウント情報を保存しました"
"Action","アクション"
"Add New Address","新規アドレスの追加"
"Add New Customer","新規顧客の追加"
"Add New Customer Group","新規顧客グループの追加"
"Added From","から追加しました"
"Additional Address Entries","追加住所登録"
"Address","住所"
"Address Book","アドレスブック"
"Address Books","Address Books"
"Address Information","住所情報"
"Addresses","住所"
"Admin","管理者"
"All","全て"
"All Store Views","すべてのストアビュー"
"All countries","全ての国"
"Always optional","必須オプション"
"Amount","量"
"Approved","承認"
"Are you sure that you want to remove this item?","このアイテムを削除してもいいですか？"
"Are you sure you want to cancel adding of this address?","この住所の追加を取りやめてもいいですか？"
"Are you sure you want to delete this address?","この住所を削除してもいいですか？"
"Are you sure?","よろしいですか？"
"Array of Entity collections is expected","エンティティコレクションの配列を想定しています"
"Assign a customer group","顧客グループを割り当てる"
"Average Sale","平均販売"
"Back","戻る"
"Back - link to the previously viewed page","Back - link to the previously viewed page"
"Back to Login","ログイン画面に戻る"
"Bad request.","不正なリクエスト。"
"Bill to Name","購入者名"
"Bought From","購入元"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","アカウントを作成いただくと、お買い物がよりスピーディーに行え、複数のお届け先を登録できます。また、ご注文の追跡などができます。"
"CSV","CSVファイル"
"Can\'t save address","住所を保存できません"
"Can\'t save customer","顧客を保存できません"
"Can\'t share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","顧客にグローバルアカウントを割り当てられませんでした。顧客アカウントが"
"Cancel","キャンセル"
"Change Account Password","パスワード変更"
"Change Billing Address","請求先変更"
"Change Password","パスワード変更"
"Change Shipping Address","お届け先変更"
"City","市区町村"
"Company","会社名"
"Config","設定"
"Confirm New Password","新しいパスワードの確認"
"Confirm Password","パスワードの確認"
"Confirmation Link Email","確認リンクEメール"
"Confirmed","確認"
"Contact Information","ご連絡先"
"Continue Shopping","お買い物を続ける"
"Country","国"
"Create","作成"
"Create New Account Options","新規アカウントオプションを作成"
"Create New Customer Account","新規顧客アカウントを作成"
"Create Order","受注を作成"
"Create an Account","アカウントを作成"
"Create customer","顧客作成"
"Create customer address","顧客住所を作成"
"Current Password","現在のパスワード"
"Customer","顧客"
"Customer Account Edit Form","Customer Account Edit Form"
"Customer Account Login Form","Customer Account Login Form"
"Customer Account Logout Success","Customer Account Logout Success"
"Customer Account Registration Form","Customer Account Registration Form"
"Customer Addresses","顧客住所"
"Customer Api","顧客API"
"Customer Configuration","顧客設定"
"Customer Forgot Password Form","Customer Forgot Password Form"
"Customer Group","顧客グループ"
"Customer Group was successfully deleted","顧客グループを削除しました"
"Customer Group was successfully saved","顧客グループを保存しました"
"Customer Groups","顧客グループ"
"Customer Information","顧客情報"
"Customer Login","ログイン"
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"Customer My Account Address Book","Customer My Account Address Book"
"Customer My Account Address Edit Form","Customer My Account Address Edit Form"
"Customer My Account Dashboard","Customer My Account Dashboard"
"Customer Since","顧客登録日時"
"Customer View","顧客照会"
"Customer collection expected","予想された集客"
"Customer doesn\'t have default billing address","Customer doesn\'t have default billing address"
"Customer email already exists","顧客のメールアドレスは既に存在しています"
"Customer email is required","Customer email is required"
"Customer website id must be specified, when using website scope.","ウェブサイトのスコープを使用するとき、顧客ウェブサイトＩＤを指定しなければなりません。"
"Customer will stay on the current page if ""No"" is selected","Customer will stay on the current page if ""No"" is selected"
"Customers","顧客"
"Customers Only","顧客のみ"
"Customers Section","顧客部分"
"DD","ＤＤ"
"Date","日付"
"Date Added","登録日"
"Date of Birth","生年月日"
"Date of Birth is required.","誕生日は必須です。"
"Day","日"
"Days in Wishlist","ほしい物リストの日付"
"Default Addresses","標準の住所"
"Default Billing Address","標準の請求先"
"Default Email Domain","標準のメールアドレスドメイン"
"Default Group","標準のグループ"
"Default Shipping Address","標準のお届け先"
"Default Welcome Email","ディフォルトのウェルカムメール"
"Delete","削除"
"Delete Address","住所の削除"
"Delete Customer","顧客の削除"
"Delete Customer Group","顧客グループの削除"
"Delete customer","顧客削除"
"Delete customer address","顧客住所削除"
"Deleted Stores","ストア削除"
"Details","詳細"
"Disabled","無効"
"Edit","編集"
"Edit Account Info","アカウント情報編集"
"Edit Account Information","アカウント情報の編集"
"Edit Address","住所の編集"
"Edit Address Entry","住所の編集"
"Edit Customer Group ""%s""","顧客グループ ""%s""を編集"
"Edit Customer Groups","顧客グループを編集"
"Edit Customer's Address","顧客の住所を編集"
"Edit Group","グループの編集"
"Edit Newsletters","メールマガジンの編集"
"Email","Eメール"
"Email Address","メールアドレス"
"Email Sender","メール送信者"
"Email:","Email:"
"Entity collection is expected","エンティティコレクションが存在していません"
"Error during retrieval of option value: %s","オプション値を取得中にエラーが発生しました: %s"
"Failed to confirm customer account.","顧客アカウントの認証に失敗しました"
"Fax","Ｆａｘ"
"First Name","名"
"First name can\'t be empty","名前は空白にできません"
"Forgot Email Sender","リマインダー送信者"
"Forgot Email Template","リマインダーテンプレート"
"Forgot Your Password?","パスワードをお忘れですか？"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","マイアカウントダッシュボードでは最近のアカウントの活動と更新、アカウント情報を見る事ができます。以下のリンクを選択して表示または編集することができます。"
"Gender","Gender"
"Gender is required.","Gender is required."
"General Subscription","総合情報"
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Global","グローバル"
"Grand Total","合計"
"Group","グループ"
"Group ""%s"" can not be deleted","グループ""%s""は削除できません"
"Group Information","グループ情報"
"Group Name","グループ名"
"Guest","ゲスト様"
"HTML","ＨＴＭＬ"
"Hello, %s!","ようこそ, %s様!"
"ID","ＩＤ"
"IP Address","IPアドレス"
"If you have an account with us, please log in.","アカウントをお持ちの場合は、ログインをお願いします。"
"Invalid attribute option specified for attribute %s (%s), skipping the record","不正な属性オプションが属性 %s (%s) に指定されました。レコードをスキップします"
"Invalid attribute set specified, skipping the record","不正な属性セットが指定されました、このレコードをスキップします"
"Invalid current password","不正なパスワードです"
"Invalid customer data","不正な顧客データ"
"Invalid email address","不正なメールアドレス"
"Invalid email address ""%s""","メールアドレスが無効です ""%s"""
"Invalid login or password.","ログイン名かパスワードが違います。"
"Invalid option id specified for %s (%s), skipping the record","%s (%s)の不正なオプションIDです。レコードをスキップします。"
